Year,Surgeon ID,Surgeon Name,Statewide All CABG Cases,Statewide Isolated CABG Cases,Statewide Isolated CABG Deaths,Statewide Observed Mortality Rate(%), Surgeon Total CABG Cases, Surgeon Total Isolated CABG Cases, Surgeon Total Isolated CABG Deaths,Overall Surgeon Operative Mortality  Risk Adjusted Rate (%),Overall Surgeon LCL,Overall Surgeon UCL,Overall Performance Rating,All CABG Cases per Hospital,Isolated CABG Cases per Hospital,Isolated CABG Deaths per Hospital,Observed Mortality Rate(%) per Hospital,Expected Mortality Rate(%) per Hospital,Risk-Adjusted Mortality Rate(%) per Hospital,Lower 95%CI per Hospital,Upper 95%CI per Hospital,  Performance Rating per Hospital,County,Hospital,OSHPD ID,Longitude,Latitude 
2017-2018,A67588,"Egrie, Glenn D","32,297","25,838",603,2.33,142,110,0,0,0,6.41,Average,142,110,0,0,1.22,0,0,6.41,Average,San Francisco,California Pacific Medical Center - Pacific Campus,106380929,-122.43,37.79
2017-2018,G64353,"Esmailian, Fardad","32,297","25,838",603,2.33,193,147,1,0.98,0.02,5.49,Average,193,147,1,0.68,1.61,0.98,0.02,5.49,Average,Los Angeles,Cedars Sinai Medical Center,106190555,-118.38,34.08
2017-2018,A49404,"Faber, Luke A","32,297","25,838",603,2.33,99,81,2,3.88,0.47,14.02,Average,62,50,2,4,1.46,6.39,0.77,23.1,Average,San Luis Obispo,French Hospital Medical Center,106400480,-120.65,35.28
2017-2018,A49404,"Faber, Luke A","32,297","25,838",603,2.33,99,81,2,3.88,0.47,14.02,Average,37,31,0,0,1.53,0,0,18.2,Average,Santa Barbara,Marian Regional Medical Center,106420493,-120.41,34.95
2017-2018,G23163,"Faraci, Philip A","32,297","25,838",603,2.33,22,20,2,11.14,1.35,40.23,Average,21,19,2,10.53,2.17,11.34,1.37,40.95,Average,Ventura,Los Robles Hospital and Medical Center,106560492,-118.89,34.21
2017-2018,G23163,"Faraci, Philip A","32,297","25,838",603,2.33,22,20,2,11.14,1.35,40.23,Average,1,1,0,0,0.74,0,0,100,Average,Los Angeles,West Hills Hospital and Medical Center,106190859,-118.63,34.2
2017-2018,A25226,"Felahy, Isam","32,297","25,838",603,2.33,4,3,0,0,0,100,Average,2,1,0,0,1.33,0,0,100,Average,San Joaquin,Dameron Hospital,106390846,-121.3,37.96
2017-2018,A25226,"Felahy, Isam","32,297","25,838",603,2.33,4,3,0,0,0,100,Average,2,2,0,0,2.65,0,0,100,Average,San Joaquin,St. Joseph's Medical Center of Stockton,106391042,-121.29,37.97
2017-2018,A63291,"Fischbein, Michael P","32,297","25,838",603,2.33,49,29,2,7.09,0.86,25.61,Average,49,29,2,6.9,2.27,7.09,0.86,25.61,Average,Santa Clara,Stanford Health Care,106430905,-122.18,37.43
2017-2018,A103228,"Fleischman, Fernando","32,297","25,838",603,2.33,65,44,0,0,0,15.99,Average,3,3,0,0,2.93,0,0,97.96,Average,Los Angeles,Huntington Memorial Hospital,106190400,-118.15,34.14
2017-2018,A103228,"Fleischman, Fernando","32,297","25,838",603,2.33,65,44,0,0,0,15.99,Average,18,9,0,0,1.67,0,0,57.28,Average,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A103228,"Fleischman, Fernando","32,297","25,838",603,2.33,65,44,0,0,0,15.99,Average,44,32,0,0,0.94,0,0,28.66,Average,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,-118.21,34.06
2017-2018,A83295,"Floridia, Rosario","32,297","25,838",603,2.33,178,149,4,1.99,0.54,5.1,Average,177,148,4,2.7,3.16,2,0.54,5.12,Average,San Bernardino,Loma Linda University Medical Center,106361246,-117.26,34.05
2017-2018,A83295,"Floridia, Rosario","32,297","25,838",603,2.33,178,149,4,1.99,0.54,5.1,Average,1,1,0,0,1.67,0,0,100,Average,Riverside,Loma Linda University Medical Center - Murrieta,106334589,-117.16,33.61
2017-2018,C30651,"Folkerth, Theodore L","32,297","25,838",603,2.33,6,5,0,0,0,100,Average,6,5,0,0,0.94,0,0,100,Average,San Diego,Tri-City Medical Center - Oceanside,106370780,-117.29,33.18
2017-2018,G76374,"Fontana, Gregory P","32,297","25,838",603,2.33,38,27,1,3.25,0.08,18.11,Average,38,27,1,3.7,2.66,3.25,0.08,18.11,Average,Ventura,Los Robles Hospital and Medical Center,106560492,-118.89,34.21
2017-2018,A69296,"Freyaldenhoven, Stephen J","32,297","25,838",603,2.33,106,80,3,4.31,0.89,12.6,Average,46,34,3,8.82,2.07,9.95,2.05,29.08,Average,San Luis Obispo,French Hospital Medical Center,106400480,-120.65,35.28
2017-2018,A69296,"Freyaldenhoven, Stephen J","32,297","25,838",603,2.33,106,80,3,4.31,0.89,12.6,Average,60,46,0,0,2,0,0,9.35,Average,Santa Barbara,Marian Regional Medical Center,106420493,-120.41,34.95
2017-2018,G59878,"Fung, Lit K","32,297","25,838",603,2.33,267,202,10,3.56,1.71,6.55,Average,267,202,10,4.95,3.24,3.56,1.71,6.55,Average,Stanislaus,Memorial Medical Center - Modesto,106500939,-120.98,37.67
2017-2018,A115654,"Gao, Guangqiang","32,297","25,838",603,2.33,123,105,1,0.82,0.02,4.55,Average,123,105,1,0.95,2.72,0.82,0.02,4.55,Average,Los Angeles,Pomona Valley Hospital Medical Center,106190630,-117.75,34.08
2017-2018,G70608,"Gates, Richard N","32,297","25,838",603,2.33,15,12,1,4.7,0.12,26.18,Average,15,12,1,8.33,4.14,4.7,0.12,26.18,Average,Orange,St. Joseph Hospital - Orange,106301340,-117.87,33.78
2017-2018,G39320,"Gaudiani, Vincent A","32,297","25,838",603,2.33,48,26,1,5.88,0.15,32.78,Average,2,1,0,0,0.49,0,0,100,Average,San Francisco,California Pacific Medical Center - Pacific Campus,106380929,-122.43,37.79
2017-2018,G39320,"Gaudiani, Vincent A","32,297","25,838",603,2.33,48,26,1,5.88,0.15,32.78,Average,14,8,0,0,0.76,0,0,100,Average,Monterey,Community Hospital of the Monterey Peninsula,106270744,-121.92,36.6
2017-2018,G39320,"Gaudiani, Vincent A","32,297","25,838",603,2.33,48,26,1,5.88,0.15,32.78,Average,31,17,1,5.88,1.95,7.05,0.18,39.26,Average,Santa Clara,El Camino Hospital,106430763,-122.08,37.37
2017-2018,G39320,"Gaudiani, Vincent A","32,297","25,838",603,2.33,48,26,1,5.88,0.15,32.78,Average,1,.,.,.,.,.,.,.,,San Mateo,Mills-Peninsula Medical Center,106410852,-122.38,37.59
2017-2018,C140910,"George, Kristopher M","32,297","25,838",603,2.33,113,100,0,0,0,3.62,Average,99,88,0,0,2.47,0,0,3.96,Average,Fresno,Community Regional Medical Center - Fresno,106100717,-119.78,36.74
2017-2018,C140910,"George, Kristopher M","32,297","25,838",603,2.33,113,100,0,0,0,3.62,Average,14,12,0,0,1.72,0,0,41.6,Average,Fresno,Fresno Heart and Surgical Hospital,106105029,-119.79,36.86
2017-2018,C55954,"Gharai, Fariba","32,297","25,838",603,2.33,6,6,0,0,0,100,Average,6,6,0,0,1.37,0,0,100,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,G72926,"Gheissari, Ali","32,297","25,838",603,2.33,193,154,3,2.09,0.43,6.12,Average,9,7,0,0,0.81,0,0,100,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,G72926,"Gheissari, Ali","32,297","25,838",603,2.33,193,154,3,2.09,0.43,6.12,Average,142,111,3,2.7,2.34,2.69,0.55,7.86,Average,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,-118.27,34.05
2017-2018,G72926,"Gheissari, Ali","32,297","25,838",603,2.33,193,154,3,2.09,0.43,6.12,Average,1,1,0,0,2.4,0,0,100,Average,Los Angeles,Methodist Hospital of Southern California,106190529,-118.04,34.14
2017-2018,G72926,"Gheissari, Ali","32,297","25,838",603,2.33,193,154,3,2.09,0.43,6.12,Average,41,35,0,0,1.89,0,0,13.04,Average,Los Angeles,St. Vincent Medical Center,106190762,-118.27,34.06
2017-2018,G45993,"Gibson, Christopher F","32,297","25,838",603,2.33,46,38,0,0,0,9.97,Average,46,38,0,0,2.27,0,0,9.97,Average,San Bernardino,St. Bernardine Medical Center,106361339,-117.28,34.13
2017-2018,A82530,"Golts, Eugene M","32,297","25,838",603,2.33,146,104,0,0,0,4.39,Average,146,104,0,0,1.88,0,0,4.39,Average,San Diego,UCSD Health La Jolla - Jacobs Medical Center & Sulpizio Cardiovascular Center,106374141,-117.23,32.88
2017-2018,G28835,"Gordon, Robert T","32,297","25,838",603,2.33,197,138,1,1.03,0.03,5.75,Average,197,138,1,0.72,1.64,1.03,0.03,5.75,Average,Santa Clara,Kaiser Foundation Hospital - Santa Clara,106434153,-122,37.33
2017-2018,G70423,"Gottner, Robert J","32,297","25,838",603,2.33,134,121,2,2.12,0.26,7.67,Average,3,3,1,33.33,2.71,28.65,0.73,100,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,G70423,"Gottner, Robert J","32,297","25,838",603,2.33,134,121,2,2.12,0.26,7.67,Average,1,1,0,0,2.73,0,0,100,Average,Los Angeles,Emante Health Inter-Community Hospital,106190413,-117.89,34.09
2017-2018,G70423,"Gottner, Robert J","32,297","25,838",603,2.33,134,121,2,2.12,0.26,7.67,Average,12,11,0,0,1.49,0,0,52.51,Average,Los Angeles,Good Samaritan Hospital - Los Angeles,106190392,-118.27,34.05
2017-2018,G70423,"Gottner, Robert J","32,297","25,838",603,2.33,134,121,2,2.12,0.26,7.67,Average,24,23,0,0,2.01,0,0,18.6,Average,Los Angeles,Methodist Hospital of Southern California,106190529,-118.04,34.14
2017-2018,G70423,"Gottner, Robert J","32,297","25,838",603,2.33,134,121,2,2.12,0.26,7.67,Average,93,82,1,1.22,1.76,1.62,0.04,9.02,Average,Los Angeles,Providence Saint Joseph Medical Center,106190758,-118.33,34.16
2017-2018,G70423,"Gottner, Robert J","32,297","25,838",603,2.33,134,121,2,2.12,0.26,7.67,Average,1,1,0,0,2.06,0,0,100,Average,Los Angeles,St. Vincent Medical Center,106190762,-118.27,34.06
2017-2018,G79711,"Gramins, Daniel L","32,297","25,838",603,2.33,149,112,1,0.96,0.02,5.37,Average,10,10,0,0,3.92,0,0,21.98,Average,Riverside,Temecula Valley Hospital,106334564,-117.1,33.48
2017-2018,G79711,"Gramins, Daniel L","32,297","25,838",603,2.33,149,112,1,0.96,0.02,5.37,Average,123,95,1,1.05,2.01,1.22,0.03,6.81,Average,San Diego,Tri-City Medical Center - Oceanside,106370780,-117.29,33.18
2017-2018,G79711,"Gramins, Daniel L","32,297","25,838",603,2.33,149,112,1,0.96,0.02,5.37,Average,16,7,0,0,1.74,0,0,70.8,Average,San Diego,UCSD Health La Jolla - Jacobs Medical Center & Sulpizio Cardiovascular Center,106374141,-117.23,32.88
2017-2018,G75677,"Gregory, Richard D","32,297","25,838",603,2.33,244,180,3,1.65,0.34,4.83,Average,1,1,0,0,1.98,0,0,100,Average,Fresno,Fresno Heart and Surgical Hospital,106105029,-119.79,36.86
2017-2018,G75677,"Gregory, Richard D","32,297","25,838",603,2.33,244,180,3,1.65,0.34,4.83,Average,243,179,3,1.68,2.36,1.66,0.34,4.85,Average,Fresno,Saint Agnes Medical Center,106100899,-119.76,36.84
2017-2018,A95109,"Grewal, Navrose S","32,297","25,838",603,2.33,223,198,5,2.2,0.71,5.14,Average,1,1,0,0,0.84,0,0,100,Average,Orange,Fountain Valley Regional Hospital and Medical Center - Euclid,106301175,-117.94,33.72
2017-2018,A95109,"Grewal, Navrose S","32,297","25,838",603,2.33,223,198,5,2.2,0.71,5.14,Average,72,65,2,3.08,3.56,2.02,0.24,7.3,Average,Los Angeles,Lakewood Regional Medical Center,106190240,-118.15,33.86
2017-2018,A95109,"Grewal, Navrose S","32,297","25,838",603,2.33,223,198,5,2.2,0.71,5.14,Average,34,28,0,0,2.1,0,0,14.66,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,A95109,"Grewal, Navrose S","32,297","25,838",603,2.33,223,198,5,2.2,0.71,5.14,Average,38,36,0,0,2.25,0,0,10.64,Average,Los Angeles,PIH Health Hospital - Downey,106190243,-118.13,33.94
2017-2018,A95109,"Grewal, Navrose S","32,297","25,838",603,2.33,223,198,5,2.2,0.71,5.14,Average,1,.,.,.,.,.,.,.,,Los Angeles,PIH Health Hospital - Whittier,106190631,-118.05,33.97
2017-2018,A95109,"Grewal, Navrose S","32,297","25,838",603,2.33,223,198,5,2.2,0.71,5.14,Average,70,61,3,4.92,2.44,4.7,0.97,13.74,Average,Los Angeles,St. Mary Medical Center - Long Beach,106190053,-118.19,33.78
2017-2018,A95109,"Grewal, Navrose S","32,297","25,838",603,2.33,223,198,5,2.2,0.71,5.14,Average,7,7,0,0,1.38,0,0,89.25,Average,Orange,UC Irvine Medical Center,106301279,-117.89,33.79
2017-2018,C51011,"Griffith, Patrick K","32,297","25,838",603,2.33,108,89,2,1.69,0.2,6.11,Average,2,2,0,0,1.44,0,0,100,Average,Yuba,Adventist Health and Rideout,106580996,-121.59,39.14
2017-2018,C51011,"Griffith, Patrick K","32,297","25,838",603,2.33,108,89,2,1.69,0.2,6.11,Average,106,87,2,2.3,3.14,1.71,0.21,6.17,Average,Monterey,Salinas Valley Memorial Hospital,106270875,-121.65,36.66
2017-2018,G86583,"Gulati, Rajeev","32,297","25,838",603,2.33,65,61,4,3.12,0.85,7.98,Average,1,1,0,0,22.37,0,0,38.48,Average,San Diego,Grossmont Hospital,106370714,-117.01,32.78
2017-2018,G86583,"Gulati, Rajeev","32,297","25,838",603,2.33,65,61,4,3.12,0.85,7.98,Average,54,51,4,7.84,5.18,3.53,0.96,9.05,Average,Riverside,Riverside Community Hospital,106331312,-117.38,33.98
2017-2018,G86583,"Gulati, Rajeev","32,297","25,838",603,2.33,65,61,4,3.12,0.85,7.98,Average,10,9,0,0,1.43,0,0,67.08,Average,San Bernardino,San Antonio Regional Hospital,106361318,-117.64,34.1
2017-2018,G65020,"Gundry, Steven R","32,297","25,838",603,2.33,4,3,0,0,0,39.24,Average,4,3,0,0,7.31,0,0,39.24,Average,Riverside,Desert Regional Medical Center,106331164,-116.55,33.84
2017-2018,G88046,"Guyton, Steven W","32,297","25,838",603,2.33,2,1,0,0,0,100,Average,2,1,0,0,7.02,0,0,100,Average,Shasta,Mercy Medical Center - Redding,106450949,-122.4,40.57
2017-2018,A85168,"Ha, Richard-Tien V","32,297","25,838",603,2.33,134,112,4,6.79,1.85,17.38,Average,131,110,4,3.64,1.21,7,1.91,17.92,Average,Santa Clara,Kaiser Foundation Hospital - Santa Clara,106434153,-122,37.33
2017-2018,A85168,"Ha, Richard-Tien V","32,297","25,838",603,2.33,134,112,4,6.79,1.85,17.38,Average,3,2,0,0,2.07,0,0,100,Average,Santa Clara,Stanford Health Care,106430905,-122.18,37.43
2017-2018,A80162,"Habibipour, Saied","32,297","25,838",603,2.33,242,209,5,2.71,0.88,6.32,Average,242,209,5,2.39,2.06,2.71,0.88,6.32,Average,Riverside,Desert Regional Medical Center,106331164,-116.55,33.84
2017-2018,A107448,"Hackmann, Amy E","32,297","25,838",603,2.33,24,16,0,0,0,43.47,Average,3,2,0,0,1.1,0,0,100,Average,Los Angeles,Huntington Memorial Hospital,106190400,-118.15,34.14
2017-2018,A107448,"Hackmann, Amy E","32,297","25,838",603,2.33,24,16,0,0,0,43.47,Average,11,5,0,0,1.3,0,0,100,Average,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A107448,"Hackmann, Amy E","32,297","25,838",603,2.33,24,16,0,0,0,43.47,Average,10,9,0,0,1.23,0,0,77.51,Average,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,-118.21,34.06
2017-2018,C55150,"Hajiseyedjavadi, Omid","32,297","25,838",603,2.33,159,131,3,1.84,0.38,5.37,Average,47,40,1,2.5,3.55,1.64,0.04,9.16,Average,Santa Clara,Good Samaritan Hospital - San Jose,106430779,-121.94,37.25
2017-2018,C55150,"Hajiseyedjavadi, Omid","32,297","25,838",603,2.33,159,131,3,1.84,0.38,5.37,Average,106,86,2,2.33,2.72,2,0.24,7.21,Average,Santa Clara,O'Connor Hospital,106430837,-121.94,37.33
2017-2018,C55150,"Hajiseyedjavadi, Omid","32,297","25,838",603,2.33,159,131,3,1.84,0.38,5.37,Average,6,5,0,0,0.98,0,0,100,Average,Santa Clara,Regional Medical of San Jose,106430705,-121.85,37.36
2017-2018,A119227,"Hargrove, Rachel A","32,297","25,838",603,2.33,77,66,1,1.75,0.04,9.73,Average,77,66,1,1.52,2.02,1.75,0.04,9.73,Average,Orange,Memorialcare Orange Coast Medical Center,106300225,-117.96,33.7
2017-2018,G77973,"Harmon, Adam L","32,297","25,838",603,2.33,12,9,0,0,0,14.67,Average,12,9,0,0,6.52,0,0,14.67,Average,San Mateo,Sequoia Hospital,106410891,-122.25,37.48
2017-2018,G88253,"Harper, Baron D","32,297","25,838",603,2.33,136,120,3,2.21,0.46,6.47,Average,136,120,3,2.5,2.64,2.21,0.46,6.47,Average,Yuba,Adventist Health and Rideout,106580996,-121.59,39.14
2017-2018,A51994,"Hasaniya, Nahidh W","32,297","25,838",603,2.33,83,70,3,4.43,0.91,12.95,Average,34,33,1,3.03,1.33,5.31,0.13,29.61,Average,San Bernardino,Kaiser Foundation Hospital - Fontana,106361223,-117.44,34.07
2017-2018,A51994,"Hasaniya, Nahidh W","32,297","25,838",603,2.33,83,70,3,4.43,0.91,12.95,Average,45,34,2,5.88,3.16,4.35,0.53,15.71,Average,San Bernardino,Loma Linda University Medical Center,106361246,-117.26,34.05
2017-2018,A51994,"Hasaniya, Nahidh W","32,297","25,838",603,2.33,83,70,3,4.43,0.91,12.95,Average,4,3,0,0,2.26,0,0,100,Average,Riverside,Loma Linda University Medical Center - Murrieta,106334589,-117.16,33.61
2017-2018,G53854,"Hemp, James R","32,297","25,838",603,2.33,133,105,3,4.89,1.01,14.3,Average,5,3,0,0,0.67,0,0,100,Average,San Diego,Scripps Memorial Hospital - La Jolla,106370771,-117.22,32.89
2017-2018,G53854,"Hemp, James R","32,297","25,838",603,2.33,133,105,3,4.89,1.01,14.3,Average,128,102,3,2.94,1.38,4.96,1.02,14.5,Average,San Diego,Scripps Mercy Hospital,106370744,-117.16,32.75
2017-2018,A141989,"Hiesinger, William","32,297","25,838",603,2.33,44,27,1,3.89,0.1,21.68,Average,44,27,1,3.7,2.22,3.89,0.1,21.68,Average,Santa Clara,Stanford Health Care,106430905,-122.18,37.43
2017-2018,G51770,"Hill, Arthur C","32,297","25,838",603,2.33,17,16,0,0,0,27.7,Average,17,16,0,0,1.94,0,0,27.7,Average,San Francisco,UC San Francisco Medical Center,106381154,-122.46,37.76
2017-2018,A150285,"Hittinger, Scott A","32,297","25,838",603,2.33,19,19,0,0,0,33.59,Average,19,19,0,0,1.35,0,0,33.59,Average,Santa Clara,Kaiser Foundation Hospital - Santa Clara,106434153,-122,37.33
2017-2018,A119442,"Hodgins, Darren M","32,297","25,838",603,2.33,268,239,5,1.64,0.53,3.82,Average,13,13,1,7.69,4.69,3.83,0.1,21.34,Average,Los Angeles,Beverly Hospital,106190081,-118.1,34.02
2017-2018,A119442,"Hodgins, Darren M","32,297","25,838",603,2.33,268,239,5,1.64,0.53,3.82,Average,201,176,1,0.57,2.91,0.46,0.01,2.54,Average,Los Angeles,Emante Health Inter-Community Hospital,106190413,-117.89,34.09
2017-2018,A119442,"Hodgins, Darren M","32,297","25,838",603,2.33,268,239,5,1.64,0.53,3.82,Average,44,42,3,7.14,2.88,5.8,1.2,16.94,Average,Los Angeles,Garfield Medical Center,106190315,-118.12,34.07
2017-2018,A119442,"Hodgins, Darren M","32,297","25,838",603,2.33,268,239,5,1.64,0.53,3.82,Average,4,3,0,0,3.04,0,0,94.33,Average,Los Angeles,Keck Hospital of University of Southern California,106194219,-118.2,34.06
2017-2018,A119442,"Hodgins, Darren M","32,297","25,838",603,2.33,268,239,5,1.64,0.53,3.82,Average,2,1,0,0,0.27,0,0,100,Average,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,-118.21,34.06
2017-2018,A119442,"Hodgins, Darren M","32,297","25,838",603,2.33,268,239,5,1.64,0.53,3.82,Average,4,4,0,0,2.26,0,0,95.02,Average,Los Angeles,Methodist Hospital of Southern California,106190529,-118.04,34.14
2017-2018,G76203,"Howden, Frederick M","32,297","25,838",603,2.33,34,28,3,8.63,1.78,25.22,Average,27,21,3,14.29,2.59,12.9,2.66,37.69,Worse,San Diego,Alvarado Hospital Medical Center,106370652,-117.06,32.78
2017-2018,G76203,"Howden, Frederick M","32,297","25,838",603,2.33,34,28,3,8.63,1.78,25.22,Average,2,2,0,0,5.98,0,0,72.03,Average,San Diego,Grossmont Hospital,106370714,-117.01,32.78
2017-2018,G76203,"Howden, Frederick M","32,297","25,838",603,2.33,34,28,3,8.63,1.78,25.22,Average,4,4,0,0,3.6,0,0,59.76,Average,San Diego,Palomar Health Downtown Campus,106370755,-117.08,33.13
2017-2018,G76203,"Howden, Frederick M","32,297","25,838",603,2.33,34,28,3,8.63,1.78,25.22,Average,1,1,0,0,0.48,0,0,100,Average,San Diego,Sharp Chula Vista Medical Center,106370875,-117.02,32.62
2017-2018,G79076,"Howe, Steven C","32,297","25,838",603,2.33,205,192,3,1.76,0.36,5.14,Average,204,191,3,1.57,2.07,1.77,0.37,5.18,Average,Riverside,Temecula Valley Hospital,106334564,-117.1,33.48
2017-2018,G79076,"Howe, Steven C","32,297","25,838",603,2.33,205,192,3,1.76,0.36,5.14,Average,1,1,0,0,3.24,0,0,100,Average,San Diego,Tri-City Medical Center - Oceanside,106370780,-117.29,33.18
2017-2018,A74711,"Huang, Mark W","32,297","25,838",603,2.33,84,79,3,3.46,0.71,10.12,Average,1,1,0,0,1.4,0,0,100,Average,San Diego,Alvarado Hospital Medical Center,106370652,-117.06,32.78
2017-2018,A74711,"Huang, Mark W","32,297","25,838",603,2.33,84,79,3,3.46,0.71,10.12,Average,13,12,0,0,2.38,0,0,30.18,Average,San Diego,Grossmont Hospital,106370714,-117.01,32.78
2017-2018,A74711,"Huang, Mark W","32,297","25,838",603,2.33,84,79,3,3.46,0.71,10.12,Average,2,1,0,0,2.3,0,0,100,Average,San Diego,Palomar Health Downtown Campus,106370755,-117.08,33.13
2017-2018,A74711,"Huang, Mark W","32,297","25,838",603,2.33,84,79,3,3.46,0.71,10.12,Average,68,65,3,4.62,2.62,4.12,0.85,12.03,Average,San Diego,Sharp Chula Vista Medical Center,106370875,-117.02,32.62
2017-2018,A39811,"Huang, Ming-Lu","32,297","25,838",603,2.33,304,262,6,2.42,0.89,5.28,Average,35,33,1,3.03,2.58,2.74,0.07,15.28,Average,Los Angeles,Beverly Hospital,106190081,-118.1,34.02
2017-2018,A39811,"Huang, Ming-Lu","32,297","25,838",603,2.33,304,262,6,2.42,0.89,5.28,Average,69,53,1,1.89,2.38,1.85,0.05,10.3,Average,Los Angeles,Emante Health Inter-Community Hospital,106190413,-117.89,34.09
2017-2018,A39811,"Huang, Ming-Lu","32,297","25,838",603,2.33,304,262,6,2.42,0.89,5.28,Average,193,170,4,2.35,2.02,2.72,0.74,6.96,Average,Los Angeles,Garfield Medical Center,106190315,-118.12,34.07
2017-2018,A39811,"Huang, Ming-Lu","32,297","25,838",603,2.33,304,262,6,2.42,0.89,5.28,Average,7,6,0,0,3.84,0,0,37.34,Average,Los Angeles,Methodist Hospital of Southern California,106190529,-118.04,34.14
2017-2018,G72871,"Huh, Joseph","32,297","25,838",603,2.33,200,135,2,1.54,0.19,5.55,Average,200,135,2,1.48,2.25,1.54,0.19,5.55,Average,Sacramento,Mercy General Hospital,106340947,-121.45,38.57
2017-2018,A99961,"Hunter, Curtis T","32,297","25,838",603,2.33,44,24,0,0,0,23.39,Average,6,4,0,0,0.75,0,0,100,Average,Los Angeles,Providence St. John's Health Center,106190756,-118.48,34.03
2017-2018,A99961,"Hunter, Curtis T","32,297","25,838",603,2.33,44,24,0,0,0,23.39,Average,38,20,0,0,1.69,0,0,25.45,Average,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,-118.45,34.07
2017-2018,G75481,"Hurwitz, Andrew S","32,297","25,838",603,2.33,146,131,2,1.96,0.24,7.08,Average,22,19,1,5.26,3.59,3.42,0.09,19.07,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,G75481,"Hurwitz, Andrew S","32,297","25,838",603,2.33,146,131,2,1.96,0.24,7.08,Average,1,1,0,0,0.62,0,0,100,Average,Los Angeles,California Hospital Medical Center - Los Angeles,106190125,-118.27,34.04
2017-2018,G75481,"Hurwitz, Andrew S","32,297","25,838",603,2.33,146,131,2,1.96,0.24,7.08,Average,63,56,0,0,1.17,0,0,13.08,Average,Los Angeles,Garfield Medical Center,106190315,-118.12,34.07
2017-2018,G75481,"Hurwitz, Andrew S","32,297","25,838",603,2.33,146,131,2,1.96,0.24,7.08,Average,60,55,1,1.82,1.89,2.25,0.06,12.54,Average,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,-118.26,34.13
2017-2018,A66563,"Ihnken, Kai A","32,297","25,838",603,2.33,7,6,0,0,0,65.97,Average,7,6,0,0,2.17,0,0,65.97,Average,San Francisco,UC San Francisco Medical Center,106381154,-122.46,37.76
2017-2018,G42531,"Ingram, Michael T","32,297","25,838",603,2.33,327,217,4,1.87,0.51,4.8,Average,327,217,4,1.84,2.3,1.87,0.51,4.8,Average,Sacramento,"Sutter Medical Center, Sacramento",106341051,-121.44,38.57
2017-2018,C42391,"Iyengar, Sridhara K","32,297","25,838",603,2.33,46,44,1,1.52,0.04,8.47,Average,46,44,1,2.27,3.49,1.52,0.04,8.47,Average,Orange,Fountain Valley Regional Hospital and Medical Center - Euclid,106301175,-117.94,33.72
2017-2018,A76312,"Jain, Sarika","32,297","25,838",603,2.33,81,77,3,3.8,0.78,11.1,Average,81,77,3,3.9,2.39,3.8,0.78,11.1,Average,Los Angeles,Pomona Valley Hospital Medical Center,106190630,-117.75,34.08
2017-2018,A126261,"Jolly, Shashank","32,297","25,838",603,2.33,81,74,1,1.3,0.03,7.27,Average,1,1,0,0,3.15,0,0,100,Average,Santa Clara,El Camino Hospital,106430763,-122.08,37.37
2017-2018,A126261,"Jolly, Shashank","32,297","25,838",603,2.33,81,74,1,1.3,0.03,7.27,Average,13,11,0,0,2.44,0,0,32.13,Average,Santa Clara,Regional Medical of San Jose,106430705,-121.85,37.36
2017-2018,A126261,"Jolly, Shashank","32,297","25,838",603,2.33,81,74,1,1.3,0.03,7.27,Average,67,62,1,1.61,2.4,1.57,0.04,8.73,Average,Alameda,Washington Hospital - Fremont,106010987,-121.98,37.56
2017-2018,A68821,"Jones, Blanding U","32,297","25,838",603,2.33,189,134,2,1.65,0.2,5.96,Average,10,8,0,0,2.04,0,0,52.65,Average,San Bernardino,Kaiser Foundation Hospital - Fontana,106361223,-117.44,34.07
2017-2018,A68821,"Jones, Blanding U","32,297","25,838",603,2.33,189,134,2,1.65,0.2,5.96,Average,179,126,2,1.59,2.12,1.75,0.21,6.32,Average,Los Angeles,Kaiser Foundation Hospital - Los Angeles,106190429,-118.3,34.1
2017-2018,G47720,"Joyo, Colin I","32,297","25,838",603,2.33,141,116,1,0.92,0.02,5.15,Average,141,116,1,0.86,2.18,0.92,0.02,5.15,Average,Orange,Hoag Memorial Hospital Presbyterian,106301205,-117.93,33.63
2017-2018,20A15786,"Jubach, Jeremy T","32,297","25,838",603,2.33,113,105,5,4.65,1.51,10.86,Average,45,44,3,6.82,3.16,5.04,1.04,14.72,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
